Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Namibia, +1390, +55, 537.5510335095393, 21.27000492303932, 38.050917054475775, 2_585_801
2, Paraguay, +1842, +113, 255.18975893849924, 15.654963496227154, 25.09878730072217, 7_218_158
3, Suriname, +174, +8, 294.0316641685241, 13.518697203150532, 36.86440677966102, 591_773
4, Colombia, +32997, +689, 641.8010965098892, 13.401247249607955, 27.593387019894134, 51_413_125
5, Uruguay, +1747, +39, 501.21631744579935, 11.18914503742769, 10.306176626747684, 3_485_521
6, Botswana, +1684, +26, 702.27354805778, 10.842703236046484, 12.65499361238446, 2_397_926
7, Argentina, +24463, +452, 536.4528634945109, 9.911977038773616, 22.577965648044746, 45_601_397
8, Brazil, +72705, +2042, 339.6827112586787, 9.540363061553153, 0, 214_037_976
9, Guyana, +331, +6, 418.8452524966214, 7.592361072446309, 9.58864426419467, 790_268
10, Tunisia, +3951, +88, 330.91752096460067, 7.370473764840511, 34.60325801366263, 11_939_531
11, Bolivia, +2270, +86, 191.90821951358285, 7.270531664391244, 16.626382480041016, 11_828_571
12, Peru, +3737, +213, 111.81756687188695, 6.373332015978572, 7.144632444316986, 33_420_509
13, Oman, +1886, +32, 360.40016265780406, 6.11495503979307, 0, 5_233_072
14, Trinidad and Tobago, +222, +7, 158.1278798683977, 4.986014230084613, 31.04895104895105, 1_403_927
15, Georgia, +656, +17, 164.7554449037449, 4.269577078298267, 2.153007975319177, 3_981_659
16, Mongolia, +2366, +13, 710.5472114475582, 3.9041055574041663, 17.975991490654916, 3_329_828
17, Russia, +20182, +568, 138.23686285748374, 3.8905231445372497, 4.0363999999999995, 145_995_790
18, Zambia, +3594, +61, 190.31136188483865, 3.2301038049457866, 27.903726708074533, 18_884_842
19, Costa Rica, +1743, +14, 339.1304601609264, 2.723939439043586, 0, 5_139_615
20, Guatemala, +1967, +49, 107.84654626233039, 2.686568768100757, 26.377899959769348, 18_238_878
21, Chile, +3463, +51, 179.64679147873485, 2.6456789966547727, 8.220186099506268, 19_276_715
22, Mexico, +4963, +342, 38.10154503185372, 2.625574934695541, 21.997163372041488, 130_257_185
23, Honduras, +546, +26, 54.2829819570725, 2.584903902717738, 35.294117647058826, 10_058_401
24, Malaysia, +5841, +84, 178.23579518537545, 2.5632266385159284, 7.835850929677229, 32_771_195
25, South Africa, +16078, +148, 267.79087980679884, 2.465048526645492, 24.497569746004174, 60_039_386
26, Jamaica, +46, +7, 15.468304603199318, 2.3538724396172874, 1.761102603369066, 2_973_823
27, Bahrain, +298, +4, 169.41434370986713, 2.2740180363740556, 2.317262830482115, 1_759_001
28, Sri Lanka, +1941, +45, 90.27416557091225, 2.092909557285446, 0, 21_501_168
29, Kuwait, +1761, +9, 406.48623694385134, 2.07744243753246, 12.787742357127296, 4_332_250
30, Panama, +1201, +9, 274.13319358094645, 2.054287045985444, 8.611170861117087, 4_381_082
31, Cabo Verde, +65, +1, 115.68079930093204, 1.7797046046297236, 0, 561_891
32, Iran, +11734, +144, 137.9765738965678, 1.6932526539207229, 9.446448122625105, 85_043_422
33, Latvia, +33, +3, 17.687598420765454, 1.6079634927968596, 1.4692787177203919, 1_865_714
34, Montenegro, +14, +1, 22.287883033189843, 1.5919916452278458, 1.0181818181818183, 628_144
35, Afghanistan, +1967, +63, 49.44367694049465, 1.5836053112613944, 31.74116507987736, 39_782_640
36, Greece, +454, +15, 43.76704287685593, 1.446047672142817, 1.185626240467983, 10_373_102
37, North Macedonia, +10, +3, 4.800099842076715, 1.4400299526230145, 0.4344048653344918, 2_083_290
38, Cuba, +1880, +16, 166.08010060920478, 1.4134476647591896, 5.616802605240357, 11_319_839
39, Ukraine, +937, +58, 21.55216036831423, 1.334071826427135, 4.165184921763869, 43_475_920
40, Bulgaria, +62, +9, 8.98928665515748, 1.3048964499422149, 0.6427534729421522, 6_897_099
41, Indonesia, +20574, +355, 74.44867946645749, 1.2845961509960344, 15.028927068723702, 276_351_443
42, Austria, +77, +11, 8.501992060906062, 1.2145702944151517, 0.02646903123345686, 9_056_701
43, Zimbabwe, +826, +17, 54.79548381725507, 1.1277520882485912, 16.898527004909983, 15_074_235
44, Lithuania, +61, +3, 22.719163577232866, 1.1173359136344032, 0.584123336206071, 2_684_958
45, Cambodia, +655, +18, 38.65449543814988, 1.0622609433384702, 11.365608190178726, 16_944_989
46, Belarus, +786, +10, 83.20739305097585, 1.0586182322007105, 4.49322586177328, 9_446_276
47, USA, +13365, +329, 40.14687984562739, 0.9882771020734314, 1.647417012831733, 332_902_583
48, Philippines, +6043, +108, 54.43849440619021, 0.9729203038008509, 10.698226109124386, 111_006_009
49, Jordan, +582, +10, 56.49288665255574, 0.9706681555421948, 2.976525341379839, 10_302_182
50, Eswatini, +49, +1, 41.81212022435189, 0.8533085760071815, 5.910735826296743, 1_171_909
51, Nepal, +1577, +24, 53.19053131640595, 0.809494452500788, 21.796821008984104, 29_648_134
52, El Salvador, None, +5, 0, 0.7670774059344484, 0, 6_518_247
53, Kyrgyzstan, +822, +5, 123.99566528048967, 0.7542315406355818, 10.093320235756385, 6_629_264
54, Iraq, +6093, +31, 148.24085331065154, 0.7542206552815032, 13.016171412702143, 41_102_030
55, Dominican Republic, +882, +8, 80.51645922571647, 0.7303080201879046, 19.17391304347826, 10_954_282
56, India, +51248, +965, 36.78248103712845, 0.6926142327667216, 2.7560556266331946, 1_393_271_975
