Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Hong Kong, +21362, +39, 2809.200427284619, 5.128677870241557, 0, 7_604_299
2, Croatia, +466, +13, 114.79851382730855, 3.2025336475429422, 23.523472993437657, 4_059_286
3, Japan, +177622, +339, 1414.3586345988676, 2.699370444702887, 18.608534769868385, 125_584_838
4, Taiwan, +18066, +36, 756.2604665531816, 1.5069952837326765, 76.44719025050779, 23_888_595
5, S. Korea, +66049, +70, 1286.7549184150937, 1.3637276005549903, 0, 51_329_899
6, Chile, +4422, +24, 229.71195876197618, 1.2467406174327065, 21.18932387752168, 19_250_195
7, Slovenia, +1710, +2, 822.8931769162583, 0.9624481601359747, 202.36686390532546, 2_078_034
8, Australia, +2826, +25, 108.405483460837, 0.9590010921871638, 0, 26_068_792
9, Serbia, +677, +8, 78.23861645465581, 0.9245331338807187, 11.204899040052963, 8_653_016
10, Czechia, +497, +7, 46.28946619397391, 0.6519643125911819, 10.419287211740041, 10_736_784
11, Mexico, +8190, +55, 62.25165276997964, 0.4180513922281905, 0, 131_562_772
12, Azerbaijan, +72, +4, 6.990152137748715, 0.38834178543048414, 3.6791006642820645, 10_300_205
13, Russia, +6986, +54, 47.91299767765989, 0.37035526404145913, 0, 145_805_947
14, Slovakia, +122, +2, 22.343532545461304, 0.36628741877805415, 17.655571635311144, 5_460_193
15, Bolivia, +2912, +3, 242.815269611669, 0.2501530936933403, 0, 11_992_656
16, Poland, +650, +8, 17.223203576808928, 0.2119778901761099, 10.086902545003104, 37_739_785
17, Philippines, +871, +22, 7.741603306843184, 0.1955399227905282, 9.470479504186148, 112_508_994
18, Brazil, +11921, +32, 55.35547298716302, 0.1485928307683262, 0, 215_353_593
19, Austria, +4853, +1, 535.2547947381134, 0.11029359050857478, 9.262157416596686, 9_066_710
20, Guatemala, +1081, +2, 58.168194761106555, 0.10761923175042841, 0, 18_584_039
21, Indonesia, +784, +17, 2.808681785865205, 0.06090253872411796, 0, 279_134_505
22, USA, +7832, +20, 23.39270234125258, 0.059736216397478496, 12.570823234836205, 334_805_269
23, Saudi Arabia, +23, +2, 0.6416531842778566, 0.0557959290676397, 1.042138649750793, 35_844_909
24, Sri Lanka, +8, +1, 0.3707850660011322, 0.046348133250141525, 0, 21_575_842
25, Malaysia, +766, +1, 23.085450644873678, 0.030137664027250235, 3.6272374277867225, 33_181_072
26, Peru, +3413, +1, 101.3234450992584, 0.029687502226562665, 15.68402187399476, 33_684_208
27, Pakistan, +13, +1, 0.05664759679063302, 0.004357507445433309, 0, 229_488_994
28, India, +170, +2, 0.12085607825768328, 0.0014218362147962738, 0, 1_406_631_776
29, China, +4128, None, 2.849900936946356, 0, 0, 1_448_471_400                                
30, France, +40744, None, 621.244178389784, 0, 0, 65_584_518
31, Germany, None, None, 0, 0, 0, 83_883_596
32, Italy, None, None, 0, 0, 0, 60_262_770
33, UK, None, None, 0, 0, 0, 68_497_907
34, Turkey, None, None, 0, 0, 0, 85_561_976
35, Spain, None, None, 0, 0, 0, 46_719_142
