Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Cyprus, +2821, +3, 2305.893392687678, 2.4522084998451024, 0, 1_223_387
2, Taiwan, +34559, +57, 1446.6736114032658, 2.386075865910071, 80.77174776796149, 23_888_595
3, Saint Helena, +6, None, 981.1937857726901, 0, 0, 6_115
4, Singapore, +5301, +2, 891.8918100406727, 0.3364994567216271, 7.587381558984342, 5_943_546
5, Hong Kong, +5656, +7, 743.7897957458011, 0.9205319254279718, 0, 7_604_299
6, S. Korea, +35887, +31, 699.1441771588134, 0.6039365088172101, 0, 51_329_899
7, Germany, +47718, +167, 568.8597327181825, 1.9908540878481173, 0, 83_883_596
8, San Marino, +19, None, 557.4299545254511, 0, 0, 34_085
9, Austria, +4853, +1, 535.2547947381134, 0.11029359050857478, 2.8583039826605257, 9_066_710
10, Liechtenstein, +19, None, 494.95923098965795, 0, 0, 38_387
11, Italy, +29037, +85, 481.8397826717889, 1.4104894282157956, 15.900752406715805, 60_262_770
12, Slovenia, +934, +4, 449.4632907835002, 1.9248963202719493, 133.04843304843305, 2_078_034
13, France, +25783, +61, 393.1263167932408, 0.9300975574753785, 0, 65_584_518
14, Réunion, +356, +1, 392.0441468139255, 1.101247603409903, 0, 908_061
15, Chile, +7131, +25, 370.437805954693, 1.298688143159069, 8.045082244635484, 19_250_195
16, Japan, +39254, +51, 312.56957945831005, 0.40609997840662904, 0, 125_584_838
17, Latvia, +496, +3, 268.2767599307024, 1.6226416931292482, 0, 1_848_837
18, Australia, +4997, +15, 191.68513830637033, 0.5754006553122983, 0, 26_068_792
19, Lithuania, +412, +3, 154.78782796610298, 1.1270958347046334, 25.701809107922646, 2_661_708
20, Qatar, +406, None, 136.2454969353153, 0, 14.295774647887324, 2_979_915
21, Bahrain, +243, +3, 136.21206031671827, 1.6816303742804726, 8.262495749744984, 1_783_983
22, Netherlands, +1980, +5, 115.03971746245392, 0.2905043370263988, 0, 17_211_447
23, Montenegro, +68, None, 108.28887650290628, 0, 10.029498525073747, 627_950
24, Serbia, +871, +5, 100.65854495126322, 0.5778332086754492, 0, 8_653_016
25, Denmark, +584, +9, 100.08654744256592, 1.542429669491598, 7.659016393442624, 5_834_950
26, Malaysia, +3296, +1, 99.33374063381677, 0.030137664027250235, 9.466367970589925, 33_181_072
27, Czechia, +948, +9, 88.29459547663434, 0.8382398304743767, 15.805268422807602, 10_736_784
28, Bulgaria, +593, +3, 86.63767932575139, 0.43830191901729204, 12.364470391993327, 6_844_597
29, Canada, +3164, +52, 82.4206904691751, 1.3545751910231052, 1.9350025074305566, 38_388_419
30, Croatia, +330, +4, 81.29508489916701, 0.9853949684747515, 15.759312320916905, 4_059_286
31, Spain, +3395, +34, 72.66828658796858, 0.7277530910135293, 0, 46_719_142
32, USA, +24195, +223, 72.2658877868496, 0.6660588128318853, 9.247863378537465, 334_805_269
33, Israel, +531, None, 56.937593823718636, 0, 0, 9_326_000
34, Russia, +7606, +78, 52.16522478332108, 0.534957603615441, 0, 145_805_947
35, Paraguay, +327, +3, 44.75869519780263, 0.41063023117250125, 0, 7_305_843
36, Mayotte, +12, None, 41.92007936868361, 0, 0, 286_259
37, Mauritius, +52, None, 40.79304823699506, 0, 0, 1_274_727
38, UAE, +333, None, 33.029865247076785, 0, 0.18584352310208, 10_081_785
39, Slovakia, +175, +6, 32.05014914307974, 1.0988622563341626, 17.17369970559372, 5_460_193
40, Brazil, +6669, +119, 30.967674637311486, 0.5525795894197131, 0, 215_353_593
41, Lebanon, +206, +2, 30.815954107564732, 0.2991840204617935, 0, 6_684_849
42, Guatemala, +571, +2, 30.725290664747313, 0.10761923175042841, 6.704238581660209, 18_584_039
43, Malta, +13, None, 29.27710327835994, 0, 3.1784841075794623, 444_033
44, Norway, +131, None, 23.76904472027826, 0, 0, 5_511_370
45, Romania, +439, +5, 23.067220455107325, 0.26272460655019736, 3.9001421464108033, 19_031_335
46, North Macedonia, +44, None, 21.140592628467537, 0, 8.103130755064457, 2_081_304
47, Poland, +791, +12, 20.959313891162864, 0.31796683526416486, 10.13323084806559, 37_739_785
48, Philippines, +1551, +38, 13.785564556732238, 0.3377507757290942, 9.738180448295347, 112_508_994
49, Gabon, +31, None, 13.295973078656832, 0, 7.242990654205607, 2_331_533
50, Indonesia, +3015, +22, 10.801244367836215, 0.07881505011356442, 5.030617522900573, 279_134_505
51, Bosnia and Herzegovina, +30, None, 9.232709520185319, 0, 8.955223880597014, 3_249_317
52, Albania, +22, None, 7.675202189246762, 0, 0, 2_866_374
53, South Africa, +410, +54, 6.74828969946821, 0.8887991311494715, 0, 60_756_135
54, Saudi Arabia, +237, +2, 6.611817594515305, 0.0557959290676397, 1.9774718397997497, 35_844_909
55, Vietnam, +641, None, 6.477787389134463, 0, 0, 98_953_541
56, Bolivia, +76, None, 6.337211706897955, 0, 0, 11_992_656
57, Azerbaijan, +49, +1, 4.757186871523431, 0.09708544635762104, 2.7746319365798415, 10_300_205
58, Ghana, +134, None, 4.136383350130959, 0, 4.160198696057125, 32_395_450
59, Myanmar, +176, None, 3.1868387615126132, 0, 0, 55_227_143
60, Kazakhstan, +34, None, 1.770368335025337, 0, 0, 19_205_043
61, Laos, +11, None, 1.4703871382296245, 0, 0, 7_481_023
62, Afghanistan, +59, +1, 1.4476968713160407, 0.02453723510705154, 7.458912768647282, 40_754_388
63, Iran, +106, +3, 1.2322309249112535, 0.03487446013899774, 0.042940187559498494, 86_022_837
64, Kenya, +66, None, 1.1740592463382826, 0, 7.8384798099762465, 56_215_221
65, India, +1626, +9, 1.1559528426293706, 0.006398262966583232, 0.5661658455056668, 1_406_631_776
66, Venezuela, +26, None, 0.8883728429752139, 0, 0, 29_266_991
67, Ivory Coast, +22, None, 0.7930128931640774, 0, 2.4017467248908297, 27_742_298
68, Morocco, +26, None, 0.6883267929933415, 0, 0.8314678605692356, 37_772_756
69, Sri Lanka, +14, +2, 0.6488738655019813, 0.09269626650028305, 0, 21_575_842
70, DRC, +59, None, 0.6194824587346984, 0, 0, 95_240_792
71, Uzbekistan, +21, None, 0.6107832207029684, 0, 0, 34_382_084
72, Liberia, +3, None, 0.56549176955004, 0, 0, 5_305_117
73, Nepal, +12, None, 0.39701468775688087, 0, 2.6785714285714284, 30_225_582
74, Pakistan, +69, None, 0.3006680137348983, 0, 0, 229_488_994
75, Eritrea, +1, None, 0.2730566286681062, 0, 0, 3_662_244
76, Ethiopia, +25, None, 0.20693189055342512, 0, 1.154201292705448, 120_812_698
77, Algeria, +9, None, 0.1984558021729058, 0, 0, 45_350_148
78, China, +262, None, 0.18088034047479293, 0, 0, 1_448_471_400 
79, Cambodia, +2, None, 0.11649147029068525, 0, 0, 17_168_639
80, Togo, +1, None, 0.1151962650606157, 0, 0.6756756756756757, 8_680_837
81, Cuba, +1, None, 0.088451333899186, 0, 0, 11_305_652
82, Syria, +1, None, 0.051640065233796, 0, 0, 19_364_809
83, Mali, +1, None, 0.04656845441721349, 0, 0, 21_473_764
84, UK, None, None, 0, 0, 0, 68_497_907
85, Turkey, None, None, 0, 0, 0, 85_561_976
86, Argentina, None, None, 0, 0, 0, 46_010_234
87, Mexico, None, None, 0, 0, 0, 131_562_772
88, Colombia, None, None, 0, 0, 0, 51_512_762
89, Portugal, None, None, 0, 0, 0, 10_140_570
90, Ukraine, None, None, 0, 0, 0, 43_192_122
91, Greece, None, None, 0, 0, 0, 10_316_637
92, DPRK, None, None, 0, 0, 0, 25_990_679
93, Thailand, None, None, 0, 0, 0, 70_078_203
94, Belgium, None, None, 0, 0, 0, 11_668_278
95, Switzerland, None, None, 0, 0, 0, 8_773_637
96, Peru, None, None, 0, 0, 0, 33_684_208
97, Sweden, None, None, 0, 0, 0, 10_218_971
98, Iraq, None, None, 0, 0, 0, 42_164_965
99, Hungary, None, None, 0, 0, 0, 9_606_259
100, Bangladesh, None, None, 0, 0, 0, 167_885_689
101, New Zealand, None, None, 0, 0, 0, 4_898_203
102, Georgia, None, None, 0, 0, 0, 3_968_738
103, Jordan, None, None, 0, 0, 0, 10_300_869
104, Ireland, None, None, 0, 0, 0, 5_020_199
105, Finland, None, None, 0, 0, 0, 5_554_960
106, Tunisia, None, None, 0, 0, 0, 12_046_656
107, Costa Rica, None, None, 0, 0, 0, 5_182_354
108, Ecuador, None, None, 0, 0, 0, 18_113_361
109, Belarus, None, None, 0, 0, 0, 9_432_800
110, Uruguay, None, None, 0, 0, 0, 3_496_016
111, Panama, None, None, 0, 0, 0, 4_446_964
112, Mongolia, None, None, 0, 0, 0, 3_378_078
113, Kuwait, None, None, 0, 0, 0, 4_380_326
114, Dominican Republic, None, None, 0, 0, 0, 11_056_370
115, Palestine, None, None, 0, 0, 0, 5_345_541
116, Estonia, None, None, 0, 0, 0, 1_321_910
117, Moldova, None, None, 0, 0, 0, 4_013_171
118, Egypt, None, None, 0, 0, 0, 106_156_692
119, Libya, None, None, 0, 0, 0, 7_040_745
120, Honduras, None, None, 0, 0, 0, 10_221_247
121, Armenia, None, None, 0, 0, 0, 2_971_966
122, Oman, None, None, 0, 0, 0, 5_323_993
123, Zambia, None, None, 0, 0, 0, 19_470_234
124, Botswana, None, None, 0, 0, 0, 2_441_162
125, Luxembourg, None, None, 0, 0, 0, 642_371
126, Nigeria, None, None, 0, 0, 0, 216_746_934
127, Zimbabwe, None, None, 0, 0, 0, 15_331_428
128, Brunei , None, None, 0, 0, 0, 445_431
129, Mozambique, None, None, 0, 0, 0, 33_089_461
