Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, S. Korea, +383651, +269, 7472.199410308375, 5.239193020148398, 0, 51_343_785
2, Austria, +44465, +17, 4889.876333911307, 1.8695130479364042, 6.6946406740260285, 9_093_277
3, New Zealand, +18740, +2, 3746.4265008696348, 0.3998320705303772, 422.9293613179869, 5_002_100 
4, Hong Kong, +27747, +285, 3651.015210392268, 37.50096713020494, 0, 7_599_804
5, Latvia, +6525, +23, 3525.2301124345804, 12.426098480612314, 45.17446690667405, 1_850_943
6, Netherlands, +60043, +11, 3491.080543006841, 0.6395730721828565, 0, 17_198_973
7, Cyprus, +2812, +4, 2300.735220721672, 3.2727385785514533, 0, 1_222_218
8, Singapore, +12632, +10, 2130.859251449657, 1.6868740115972587, 0, 5_928_125
9, Greece, +19002, +40, 1838.2552111952277, 3.8696036442379276, 6.1457157549864, 10_336_976
10, Germany, +145267, +166, 1724.505818033207, 1.9706331499481116, 0, 84_236_886
11, Vietnam, +168719, +62, 1707.3517583707307, 0.6274089404215607, 70.86115801056708, 98_819_121
12, Slovakia, +9051, +34, 1656.4445135010933, 6.22241889946273, 55.46295728904958, 5_464_113
13, Estonia, +1891, +9, 1423.899677947175, 6.776889001335047, 38.853503184713375, 1_328_043
14, Australia, +31599, +22, 1215.3466680312827, 0.8461542041421634, 35.4670348171594, 25_999_989
15, Denmark, +6718, +52, 1152.970606972606, 8.924452450517345, 17.458873671353206, 5_826_688
16, France, +72443, +51, 1105.7010049435182, 0.7784154611504138, 0, 65_517_712
17, Slovenia, +2257, +6, 1085.398291158933, 2.8854185852696497, 128.02041973908112, 2_079_421
18, Lithuania, +2728, +20, 1026.3058594615582, 7.5242365063164085, 43.802183686576754, 2_658_077
19, Chile, +17414, +126, 897.9251349891272, 6.496989032309063, 18.443712467034537, 19_393_599
20, Italy, +53825, +133, 892.4499118808304, 2.205217617838373, 12.883667602572665, 60_311_508
21, Belgium, +10381, +28, 889.1725744265539, 2.3983076855739824, 24.401767664895868, 11_674_899
22, Malaysia, +26250, +77, 793.8450606778874, 2.32861217798847, 11.783824064139916, 33_066_906
23, Czechia, +8353, +9, 777.5606044400358, 0.8377882724722043, 21.791192737138683, 10_742_571
24, Bahrain, +1176, None, 652.8183322045941, 0, 0, 1_801_420
25, Norway, +3194, None, 581.4774844053346, 0, 0, 5_492_904
26, Israel, +5410, +8, 580.0986489384516, 0.8578168561012224, 0, 9_326_000 
27, Japan, +56540, +163, 449.3655473485366, 1.2954825648710908, 30.90799759470836, 125_821_840
28, Croatia, +1575, +13, 387.6956478394275, 3.2000275694682907, 28.190442097726866, 4_062_465
