Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Aruba, +923, +3, 8573.92338275183, 27.867573291717758, 0, 107_652
2, Channel Islands, +660, +2, 3728.8978281995073, 11.299690388483356, 0, 176_996
3, St. Vincent Grenadines, +2, +1, 17.916491234356666, 8.958245617178333, 66.66666666666666, 111_629
4, Taiwan, +55220, +154, 2310.3589432563795, 6.443232112667194, 62.170682278766044, 23_901_048
5, Trinidad and Tobago, +132, +5, 93.72683456077617, 3.5502588848778855, 8.588158750813273, 1_408_348
6, Paraguay, +1384, +15, 189.48928666730652, 2.053713367058958, 0, 7_303_843
7, Australia, +30125, +51, 1155.1716700139484, 1.9556433251688419, 36.55414260059215, 26_078_375
8, Spain, +16090, +81, 343.8755738917867, 1.7311324726684103, 0, 46_790_180
9, New Zealand, +5014, +7, 1002.3790008196559, 1.3994122468563204, 0, 5_002_100 
10, Guyana, +85, +1, 107.05653718703282, 1.2594886727886212, 7.548845470692718, 793_973
11, Greece, +7204, +13, 697.8220377507774, 1.2592568699000701, 7.163739782422784, 10_323_549
12, Chile, +13104, +23, 674.1767958677655, 1.1833078682050218, 14.98165022236958, 19_437_038
13, Latvia, +206, +2, 111.62564875634939, 1.0837441626830038, 10.662525879917183, 1_845_454
14, Guatemala, +1902, +20, 102.45912678104884, 1.0773830366040886, 17.85580172737514, 18_563_500
15, North Macedonia, +72, +2, 34.562095845492074, 0.9600582179303353, 9.32642487046632, 2_083_207
16, UK, +12054, +65, 175.75726169544723, 0.9477536096071072, 0, 68_583_226
17, Eswatini, +19, +1, 16.052028849720063, 0.844843623669477, 5.919003115264798, 1_183_651
18, Slovakia, +171, +4, 31.291103884269027, 0.7319556464156498, 21.951219512195124, 5_464_812
19, Italy, +35427, +41, 587.6289988466866, 0.6800685621902547, 19.06532701176952, 60_288_039
20, France, +50605, +43, 771.9368457575911, 0.6559289470917186, 0, 65_555_881
21, USA, +81733, +200, 244.1266028561131, 0.5973758527305081, 19.843163913133203, 334_797_597
22, Bulgaria, +208, +4, 30.38168895606618, 0.5842632491551187, 6.617881005408845, 6_846_229
23, Mexico, +9406, +69, 71.48428491790723, 0.5243903528955558, 44.98756456858619, 131_581_368
24, Ecuador, +1425, +9, 78.43951493224147, 0.4954074627299461, 0, 18_166_864
25, Croatia, +68, +2, 16.766149932282016, 0.4931220568318239, 10.089020771513352, 4_055_791
26, Slovenia, +463, +1, 222.64999660975707, 0.48088552183532846, 81.65784832451499, 2_079_497
27, Panama, +1451, +2, 326.24578786559033, 0.4496840632192837, 14.862234968759601, 4_447_567
28, Russia, +3373, +63, 23.093756887303904, 0.4313390702342561, 0, 146_056_790
29, Peru, +1400, +13, 41.33464978287942, 0.3838217479838803, 4.388164493480441, 33_869_889
30, Brazil, +28672, +76, 133.04029636619165, 0.3526458748545817, 0, 215_513_651
31, Thailand, +1967, +19, 28.04295622029765, 0.27087756389713036, 0, 70_142_391
32, Zimbabwe, +109, +4, 7.130728362687947, 0.2616781050527687, 0, 15_285_956
33, Czechia, +370, +2, 34.42558263670376, 0.18608423046866895, 7.509640755023341, 10_747_821
34, S. Korea, +7186, +9, 139.92675089675504, 0.17524920095613628, 0, 51_355_441
35, Singapore, +4979, +1, 838.1727329397171, 0.16834158122910567, 0, 5_940_303
36, Canada, +782, +6, 20.37032734126175, 0.15629407167208503, 0, 38_389_172
37, El Salvador, None, +1, 0, 0.15266728059269102, 0, 6_550_192
38, Lebanon, +442, +1, 65.3294718984242, 0.14780423506430815, 0, 6_765_706
39, Japan, +15802, +17, 125.69233492872662, 0.13522147157248152, 16.964764992592272, 125_719_679
40, Hong Kong, +1145, +1, 150.34330137870717, 0.13130419334384905, 0, 7_615_903
41, Serbia, +325, +1, 37.49170568111239, 0.11535909440342275, 5.6286802909594735, 8_668_584
42, Austria, +4941, +1, 542.5574319167837, 0.10980721147880666, 8.08555204634342, 9_106_870
43, Saudi Arabia, +945, +3, 26.342254232970284, 0.08362620391419137, 3.3024637427922414, 35_873_923
