Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Paraguay, +1786, +135, 247.52180229133677, 18.709654708471707, 25.32614861032331, 7_215_526
2, Suriname, +262, +11, 442.85557330358426, 18.593172924959642, 43.377483443708606, 591_615
3, Colombia, +28519, +586, 554.8785251076257, 11.401480266245967, 31.038385773211587, 51_396_835
4, Uruguay, +2043, +39, 586.1997727507488, 11.190304031952621, 14.613733905579398, 3_485_160
5, Trinidad and Tobago, +301, +14, 214.4193829423326, 9.97299455545733, 30.099999999999998, 1_403_791
6, Bahrain, +879, +15, 500.22393415027085, 8.536244610072881, 6.556765627331046, 1_757_213
7, Peru, +2566, +265, 76.8109345244556, 7.932540003499896, 7.067896983886516, 33_406_702
8, Chile, +7481, +128, 388.18399267447353, 6.641832784698919, 8.65505871464106, 19_271_789
9, Tunisia, +1861, +79, 155.9172829071762, 6.618734739208446, 28.92446378613615, 11_935_816
10, Argentina, +13043, +268, 286.10006219709624, 5.878618160608894, 20.785326130260874, 45_588_945
11, Bolivia, +2056, +68, 173.8867883676843, 5.751119459631582, 278.96879240162826, 11_823_785
12, Brazil, +36998, +1118, 172.89380156888953, 5.224478894913738, 6.66402492840289, 213_992_634
13, Montenegro, +28, +3, 44.5759079953259, 4.7759901423563464, 1.9580419580419581, 628_142
14, Oman, +1482, +24, 283.4108824806752, 4.589649918715387, 0, 5_229_157
15, Mongolia, +2188, +14, 657.404514097541, 4.20642742109944, 19.958040682294993, 3_328_240
16, Maldives, +224, +2, 407.6077066971402, 3.6393545240816088, 5.998928762720943, 549_548
17, Cabo Verde, +44, +2, 78.33237494859438, 3.560562497663381, 2.633153800119689, 561_709
18, Georgia, +522, +14, 131.09359178359614, 3.515920086150088, 2.381169601313749, 3_981_888
19, Latvia, +90, +5, 48.222828043824904, 2.679046002434717, 1.3918960717599753, 1_866_336
20, Guyana, +83, +2, 105.04281443870435, 2.531152155149502, 6.9689336691855575, 790_154
21, Russia, +14723, +357, 100.84666884917772, 2.4453073951746553, 3.68075, 145_993_915
22, Iran, +8195, +187, 96.3991625000741, 2.199712432887597, 6.441647867063882, 85_011_112
23, Afghanistan, +1607, +85, 40.421340787695975, 2.1380298487580323, 35.03379114889906, 39_756_227
24, Mexico, +3649, +274, 28.022563070484072, 2.104188073804504, 21.85553425970292, 130_216_497
25, Malaysia, +5304, +64, 161.91102879073586, 1.9536775721355761, 6.6192437289404715, 32_758_732
26, Croatia, +59, +7, 14.456606779560515, 1.7151906348631119, 1.3143239028736913, 4_081_179
27, Ecuador, +826, +30, 46.15400776594263, 1.6762956815717664, 26.75736961451247, 17_896_604
28, Greece, +297, +17, 28.627540754485103, 1.6386134438594167, 1.4477917519742616, 10_374_625
29, Nepal, +1694, +46, 57.16722625191923, 1.5523567931453863, 22.535586005055208, 29_632_363
30, Bosnia and Herzegovina, +19, +5, 5.825715443848995, 1.5330830115392091, 0, 3_261_402
31, Slovenia, +91, +3, 43.76662290004377, 1.442855700001443, 6.359189378057302, 2_079_210
32, Kyrgyzstan, +558, +9, 84.21337314402328, 1.3582802120003754, 11.80452718426063, 6_626_026
33, Zambia, +1414, +24, 74.93650138433793, 1.2719066713041798, 17.187310076577127, 18_869_309
34, India, +68400, +1761, 49.10743182676392, 1.2643009860662466, 3.5994089391636743, 1_392_864_531
35, Philippines, +7290, +137, 65.69806628691562, 1.2346550180119946, 0, 110_962_170
36, Panama, +715, +5, 163.27783333283855, 1.1418030302995703, 8.123153828675301, 4_379_039
37, Lithuania, +117, +3, 43.55773633794847, 1.116865034306371, 1.4615865084322297, 2_686_090
38, Taiwan, +175, +26, 7.335152507041957, 1.0897940867605191, 0.06520872380938186, 23_857_718
39, Cuba, +1470, +12, 129.8581295517704, 1.0600663636879215, 7.5, 11_320_046
40, Austria, +233, +9, 25.731185313125334, 0.9939084455713647, 0.05540429680533593, 9_055_160
41, South Africa, +7657, +59, 127.58070166686677, 0.9830562097877943, 17.183572710951527, 60_016_914
42, Jordan, +500, +10, 48.54774282124527, 0.9709548564249054, 2.685717355105549, 10_299_140
43, Belarus, +923, +9, 97.70950086747617, 0.9527470290436463, 5.242828741834706, 9_446_369
44, Cambodia, +468, +15, 27.630126827595625, 0.8855809880639623, 5.246636771300448, 16_938_033
